Date,Daily Average,Weekly Average
2021-12-01,18.7645625,22.360647
2021-12-02,27.5668419166667,23.2645703154762
2021-12-03,23.2470089166667,23.4439315654762
2021-12-04,16.9087553541667,22.5115841160714
2021-12-05,16.3824539166667,21.2344388422619
2021-12-06,24.1572487291667,21.053502764881
2021-12-07,21.1797916666667,21.1723804285714
2021-12-08,20.1744937708333,21.3737991815476
2021-12-09,23.482059125,20.7902587827381
2021-12-10,25.4259580416667,21.1015372291667
2021-12-11,23.0850791041667,21.9838691934524
2021-12-12,15.9881084791667,21.9275341309524
2021-12-13,25.3248966666667,22.0943409791667
2021-12-14,16.2376391875,21.3883191964286
2021-12-15,23.2139583333333,21.8225284196429
2021-12-16,21.4731042291667,21.5355348630952
2021-12-17,27.5345833333333,21.8367670476191
2021-12-18,32.2465707291667,23.1455515654762
2021-12-19,30.2223870833333,25.1790199375
2021-12-20,30.5608134583333,25.9270080505952
2021-12-21,35.10578475,28.6224574166667
2021-12-22,44.8195833333333,31.7089752738095
2021-12-23,33.8516041666667,33.4773324077381
2021-12-24,16.4600840833333,31.8952610863095
2021-12-25,13.6027085,29.2318521964286
2021-12-26,17.5907291666667,27.4273296369048
2021-12-27,15.1015225833333,25.2188595119048
2021-12-28,18.9550625,22.9116134761905
2021-12-29,11.7887723125,18.1929261875
2021-12-30,8.09358333333334,14.5132089255952
2021-12-31,7.71187277083334,13.263464452381
2022-01-01,0.236020416666667,11.3539375833333
2022-01-02,3.4743386875,9.33731037202381
2022-01-03,5.75308333333334,8.00181905059524
2022-01-04,15.110407375,7.45258260416667
2022-01-05,20.4405627083333,8.68855266071429
2022-01-06,17.1477708333333,9.98200801785714
2022-01-07,21.442501,11.9435263363095
2022-01-08,18.5767508125,14.5636306785714
2022-01-09,19.5558958333333,16.860995985119
2022-01-10,20.6881071666667,18.9945708184524
2022-01-11,17.2564583333333,19.3011495267857
2022-01-12,16.919905875,18.7981985505952
2022-01-13,14.686625,18.4466062886905
2022-01-14,24.1142445625,18.8282839404762
2022-01-15,24.28125,19.6432123958333
2022-01-16,18.6760907916667,19.5175259613095
2022-01-17,23.2051392916667,19.8771019791667
2022-01-18,24.8258541666667,20.9584442410714
2022-01-19,18.2989166666667,21.1554457827381
2022-01-20,19.0741106458333,21.7822294464286
2022-01-21,15.7160352916667,20.582485264881
2022-01-22,18.2749166666667,19.7244376458333
2022-01-23,17.4741984791667,19.5527387440476
2022-01-24,77.7903897916667,27.350631672619
2022-01-25,28.7641319583333,27.9132427857143
2022-01-26,18.8695217083333,27.9947577916667
2022-01-27,20.4413691875,28.1900804404762
2022-01-28,19.7226941041667,28.7624602708333
2022-01-29,18.9829663125,28.8636102202381
2022-01-30,17.6720588958333,28.8918759940476
2022-01-31,17.8995905208333,20.3360475267857
