,INTELEC,INTEW,INTFR,INTGRNL,INTIFA2,INTIRL,INTNED,INTNEM,INTNSL,INTVKL
219,942,-464,1863,0,990,-437,536,498,1400,0
220,906,-362,1797,0,948,-335,-107,316,1399,0
221,953,-214,1491,0,913,-146,-433,121,1399,0
222,996,-511,1608,0,992,-267,616,731,1399,223
223,982,-484,1970,0,980,-373,320,758,1400,340
224,977,-298,1891,0,992,-365,79,619,1385,10
225,988,-484,1635,0,990,-429,327,695,742,315
226,919,-122,1387,0,855,-77,176,452,698,138
227,635,40,801,0,635,107,-386,-152,667,-608
228,376,-460,394,0,250,-410,-128,140,605,118
229,995,-375,1734,0,992,-366,137,927,1399,396
230,949,-368,1599,0,888,-369,435,774,1390,474
231,996,-272,1978,0,992,-351,22,498,1398,266
232,998,-470,1189,0,240,-285,0,568,1398,803
233,897,-159,867,0,-2,-162,0,424,1341,358
234,150,-450,-234,0,-2,-381,0,163,-71,-237
235,730,-519,872,0,367,-400,0,396,1080,610
236,977,-480,1927,0,979,-356,0,687,1244,309
237,989,-515,1769,0,948,-377,0,923,1398,408
238,946,-443,1905,0,922,-354,0,591,1399,43
239,903,-283,1567,0,954,-189,0,677,1398,592
240,849,-345,1321,0,808,-290,0,345,1398,509
241,868,-435,1291,0,896,-196,0,373,1399,-161
242,974,-481,1030,0,905,-268,0,927,1398,352
243,985,-528,1317,0,964,-416,0,733,1398,864
244,983,-528,1779,0,946,-404,0,722,1398,833
245,991,-498,1976,0,983,-414,0,637,1399,606
246,961,-499,1352,0,990,-419,0,922,1399,699
247,833,-282,1011,0,797,-387,0,612,1399,983
248,797,-373,1293,0,741,-302,0,222,1399,106
249,716,-302,1496,0,768,-354,0,272,1399,-34
250,969,-282,1926,0,961,-333,0,824,1399,732
251,994,-241,1970,0,992,-422,0,870,1398,206
252,996,-387,1738,0,992,-390,0,692,1398,496
253,998,-440,1368,0,992,-396,0,990,1399,618
254,823,-403,1159,0,846,-384,0,504,1398,606
255,997,-269,1294,0,984,-264,0,417,1398,-60
256,996,-351,1252,0,981,-394,0,780,1399,-143
257,998,-431,1260,0,991,-410,0,985,1400,-123
258,999,-423,961,0,992,-393,0,1004,1399,834
259,999,-409,1249,0,987,-399,0,812,1399,140
260,987,-506,1154,0,967,-425,0,787,1399,-34
261,979,-524,1251,0,973,-423,0,762,1399,168
262,982,-402,1242,0,972,-385,0,633,1399,0
263,981,-184,1335,0,972,-151,0,676,1389,-163
264,977,-334,1285,0,992,-345,0,998,1399,22
265,992,-48,1137,0,918,35,0,657,1342,275
266,880,-265,1057,0,789,-267,0,-25,1065,-174
