,BIOMASS,CCGT,COAL,NPSHYD,NUCLEAR,OCGT,OIL,OTHER,PS,WIND,INT
254,2329,9211,202,184,4107,17,0,315,-258,4056,4549
255,2349,6845,173,216,4105,5,0,263,-232,7066,4497
256,2420,6949,194,201,4181,8,0,333,-148,4028,4520
257,2123,8294,196,188,4391,5,0,279,24,869,4670
258,2580,5027,76,181,4549,3,0,265,39,1765,5373
259,2555,5966,0,171,4633,8,0,336,-4,4438,4778
260,2570,8356,111,207,4648,24,0,476,-24,2954,4329
261,2569,9516,209,165,4644,1,0,320,-106,2451,4585
262,2552,10181,311,170,4642,17,0,423,200,1799,4441
263,2482,5632,207,145,4643,1,0,294,-315,5580,4855
264,2071,4880,216,149,4750,1,0,342,123,3598,4994
265,2081,2833,85,148,4945,13,0,379,-424,5167,5308
266,1959,4379,0,270,5056,20,0,427,-132,8575,3060
267,2604,4741,203,232,5106,31,0,435,301,5836,4363
268,1909,3347,0,215,5113,4,0,396,-247,8725,3668
